Mid,T2_last_date,T2_last_time,T2_last_name,T2_last_logo,T2_last_total_main,T2_last_total_vs
370097,2020-04-12,09:20:00,EHOME,https://ru.dltv.org/storage/app/uploads/public/f96/bb8/3a4/thumb__100_100_0_0_auto.png,2,1
370097,2020-04-11,08:05:00,Vici Gaming,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,2,0
370097,2020-04-10,11:05:00,Sparking Arrow Gaming,https://ru.dltv.org/storage/app/uploads/public/618/b7f/26a/thumb__100_100_0_0_auto.png,2,0
370097,2020-04-09,07:10:00,Newbee,https://ru.dltv.org/storage/app/uploads/public/be9/f06/a04/thumb__100_100_0_0_auto.png,1,2
370097,2020-04-08,11:20:00,Keen Gaming,https://ru.dltv.org/storage/app/uploads/public/edd/602/459/thumb__100_100_0_0_auto.png,2,1
369861,2020-04-12,09:20:00,EHOME,https://ru.dltv.org/storage/app/uploads/public/f96/bb8/3a4/thumb__100_100_0_0_auto.png,2,1
369861,2020-04-11,08:05:00,Vici Gaming,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,2,0
369861,2020-04-10,11:05:00,Sparking Arrow Gaming,https://ru.dltv.org/storage/app/uploads/public/618/b7f/26a/thumb__100_100_0_0_auto.png,2,0
369861,2020-04-09,07:10:00,Newbee,https://ru.dltv.org/storage/app/uploads/public/be9/f06/a04/thumb__100_100_0_0_auto.png,1,2
369861,2020-04-08,11:20:00,Keen Gaming,https://ru.dltv.org/storage/app/uploads/public/edd/602/459/thumb__100_100_0_0_auto.png,2,1
